209,Bojnièky,Bojnièky,920 55,18,7
210,Bokroš,Bokroš,946 39,22,4
211,Bokša,Bokša,091 01,64,5
212,Bo¾,Bo¾,076 53,68,3
213,Boldog,Boldog,925 26,57,2
214,Boleráz,Boleráz,919 08,70,7
215,Bolešov,Bolešov,018 53,20,6
216,Boliarov,Boliarov,044 47,27,3
217,Bo¾kovce,Bo¾kovce,984 01,33,1
218,Borcová,Borcová,038 44,71,8
219,Borèany,Borèany,956 36,1,6
220,Borèice,Borèice,018 53,20,6
221,Borda,Borda,044 45,27,3
222,Borinka,Borinka,900 32,34,2
223,Borov,Borov,068 01,36,5
224,Borová,Borová,919 61,70,7
225,Borovce,Borovce,922 09,45,7
226,Borskı Mikuláš,Borskı Mikuláš,908 77,58,7
227,Borskı Peter,Borskı Peter,908 77,58,7
228,Borskı Svätı Jur,Borskı Svätı Jur,908 79,58,7
229,Borša,Borša,076 32,68,3
230,Bory,Bory,935 87,30,4
231,Bošáca,Bošáca,913 07,41,6
232,Bošany,Bošany,956 18,43,6
233,Bošianska Neporadza,Bošianska Neporadza,913 26,69,6
234,Boany,Boany,076 43,68,3
235,Bottovo,Bottovo,980 41,53,1
236,Boèice,Boèice,076 62,68,3
237,Bôrka,Bôrka,049 42,54,3
238,Bracovce,Bracovce,072 05,37,3
239,Brádno,Brádno,982 67,53,1
240,Branè,Branè,951 13,40,4
241,Branovo,Branovo,941 31,42,4
242,Bratislava,Bratislava,,5,2
243,Bratislava - Èunovo,Èunovo,851 10,9,2
244,Bratislava - Devín,Devín,841 10,8,2
245,Bratislava - Devínska Nová Ves,Devínska Nová Ves,,8,2
246,Bratislava - Dúbravka,Dúbravka,,8,2
247,Bratislava - Jarovce,Jarovce,851 10,9,2
248,Bratislava - Karlova Ves,Karlova Ves,,8,2
249,Bratislava - Lamaè,Lamaè,841 03,8,2
250,Bratislava - Nové Mesto,Nové Mesto,,7,2
251,Bratislava - Petralka,Petralka,,9,2
252,Bratislava - Podunajské Biskupice,Podunajské Biskupice,821 06,6,2
253,Bratislava - Raèa,Raèa,,7,2
254,Bratislava - Rusovce,Rusovce,851 10,9,2
255,Bratislava - Ruinov,Ruinov,,6,2
256,Bratislava - Staré Mesto,Staré Mesto,,5,2
257,Bratislava - Vajnory,Vajnory,831 07,7,2
258,Bratislava - Vrakuòa,Vrakuòa,821 07,6,2
259,Bratislava - Záhorská Bystrica,Záhorská Bystrica,841 06,8,2
260,Bratkovica,Bratkovica,962 05,13,1
261,Braväcovo,Braväcovo,976 64,10,1
262,Brdárka,Brdárka,049 34,54,3
263,Brehov,Brehov,076 05,68,3
264,Brehy,Brehy,968 01,77,1
265,Brekov,Brekov,066 01,19,5
266,Brestina,Brestina,985 53,33,1
267,Brestov,Brestov,066 01,19,5
268,Brestov,Brestov,082 05,49,5
269,Brestov nad Laborcom,Brestov nad Laborcom,067 01,36,5
270,Brestovany,Brestovany,919 27,70,7
271,Brestové,Brestové,916 42,41,6
272,Brestovec,Brestovec,907 01,38,6
273,Brestovec,Brestovec,946 17,22,4
274,Bretejovce,Bretejovce,082 03,49,5
275,Bretka,Bretka,980 46,54,3
276,Breza,Breza,029 53,39,8
277,Brezany,Brezany,010 04,79,8
278,Brezany,Brezany,972 12,50,6
279,Brezina,Brezina,076 12,68,3
280,Breziny,Breziny,962 61,76,1
281,Breznica,Breznica,091 01,64,5
282,Breznièka,Breznièka,091 01,64,5
283,Breznièka,Breznièka,985 02,46,1
284,Brezno,Brezno,,10,1
285,Brezolupy,Brezolupy,957 01,1,6
286,Brezov,Brezov,087 01,4,5
287,Brezová pod Bradlom,Brezová pod Bradlom,906 13,38,6
288,Brezovec,Brezovec,067 73,60,5
289,Brezovica,Brezovica,028 01,72,8
290,Brezovica,Brezovica,082 74,56,5
291,Brezovièka,Brezovièka,082 74,56,5
292,Brezovka,Brezovka,086 11,4,5
293,Breany,Breany,082 41,49,5
294,Brhlovce,Brhlovce,935 02,30,4
295,Briestenné,Briestenné,018 22,48,6
296,Brieštie,Brieštie,038 22,71,8
297,Brišovka,Brišovka,029 57,39,8
298,Brnice,Brnice,032 23,32,8
299,Brodno,Brodno,010 14,79,8
300,Brodské,Brodské,908 85,59,7
301,Brodzany,Brodzany,958 42,43,6
302,Bršlica,Bršlica,013 54,11,8
303,Bruchaèka,Bruchaèka,976 51,10,1
304,Brunovce,Brunovce,916 25,41,6
305,Brusnica,Brusnica,090 31,64,5
306,Brusník,Brusník,982 65,52,1
307,Brusník,Brusník,991 01,73,1
308,Brusno,Brusno,972 32,50,6
309,Brusno,Brusno,976 62,2,1
310,Brusno - kúpele,Brusno - kúpele,976 62,2,1
311,Brutovce,Brutovce,053 73,31,5
312,Bruty,Bruty,943 55,42,4
313,Brvnište,Brvnište,018 12,48,6
314,Brzotín,Brzotín,049 51,54,3
315,Buclovany,Buclovany,086 43,4,5
316,Búè,Búè,946 35,22,4
317,Buèany,Buèany,919 28,70,7
318,Buèina,Buèina,029 57,39,8
319,Buèkovec,Buèkovec,916 42,41,6
320,Buèuháza,Buèuháza,931 01,15,7
321,Budatín,Budatín,010 03,79,8
322,Budatínska Lehota,Budatínska Lehota,023 36,29,8
323,Budèa,Budèa,962 33,76,1
324,Budièka,Budièka,962 34,76,1
325,Budikovany,Budikovany,980 23,53,1
326,Budimír,Budimír,044 43,27,3
327,Budiná,Budiná,985 12,33,1
328,Budince,Budince,076 77,37,3
329,Budiš,Budiš,038 23,71,8
330,Budkovce,Budkovce,072 15,37,3
331,Budmerice,Budmerice,900 86,44,2
332,Budulov,Budulov,045 01,27,3
333,Budzín,Budzín,082 71,56,5
334,Buglovce,Buglovce,053 04,31,5
335,Bujakovo,Bujakovo,977 01,10,1
336,Buková,Buková,013 61,11,8
337,Buková,Buková,919 10,70,7
338,Bukovce,Bukovce,090 22,64,5
339,Bukovec,Bukovec,044 20,27,3
340,Bukovec,Bukovec,906 14,38,6
341,Bukovec,Bukovec,991 02,73,1
342,Bukovina,Bukovina,032 23,32,8
343,Bukovina,Bukovina,966 01,78,1
344,Bukovina,Bukovina,968 01,77,1
345,Bukovinka,Bukovinka,053 14,31,5
346,Bukovinka,Bukovinka,985 51,13,1
347,Bulhary,Bulhary,986 01,33,1
348,Bunde,Bunde,082 33,49,5
349,Bunetice,Bunetice,044 47,27,3
350,Bunkovce,Bunkovce,072 44,61,3
351,Bušince,Bušince,991 22,73,1
352,Bušovce,Bušovce,059 93,21,5
353,Búštelek,Búštelek,930 39,15,7
354,Butty,Butty,022 04,12,8
355,Buzica,Buzica,044 73,27,3
356,Buzice,Buzice,044 13,27,3
357,Buzitka,Buzitka,985 41,33,1
358,Byster,Byster,044 41,27,3
359,Bystrá,Bystrá,090 23,64,5
360,Bystrá,Bystrá,977 01,10,1
361,Bystrany,Bystrany,053 62,62,3
362,Bystré,Bystré,094 34,74,5
363,Bystrièany,Bystrièany,972 45,50,6
364,Bystrièka,Bystrièka,038 04,35,8
365,Bystrièka,Bystrièka,946 38,22,4
366,Bystrièka,Bystrièka,985 24,46,1
367,Byšta,Byšta,076 13,68,3
368,Bytèa,Bytèa,014 01,11,8
369,Bytèica,Bytèica,010 09,79,8
370,Bzenica,Bzenica,966 01,78,1
371,Bzenov,Bzenov,082 42,49,5
372,Bzince,Bzince,956 05,67,4
373,Bzince pod Javorinou,Bzince pod Javorinou,916 11,41,6
374,Bziny,Bziny,026 01,14,8
375,Bzovík,Bzovík,962 41,28,1
376,Bzovská Lehôtka,Bzovská Lehôtka,962 62,76,1
377,Bany,Bany,090 33,64,5
378,Cabaj,Cabaj,951 17,40,4
379,Cabaj - Èápor,Cabaj - Èápor,951 17,40,4
380,Cabov,Cabov,094 14,74,5
381,Cakov,Cakov,980 42,53,1
382,Cejkov,Cejkov,076 05,68,3
383,Celulózka,Celulózka,010 01,79,8
384,Cemjata,Cemjata,080 01,49,5
385,Cernina,Cernina,090 16,65,5
386,Cerová,Cerová,906 33,58,7
387,Cerová,Cerová,972 48,50,6
388,Ceroviny,Ceroviny,951 24,40,4
389,Cerovo,Cerovo,962 52,28,1
390,Cestice,Cestice,044 71,27,3
391,Cetuna,Cetuna,916 11,41,6
392,Cífer,Cífer,919 43,70,7
393,Cige¾,Cige¾,971 01,50,6
394,Cige¾ka,Cige¾ka,086 02,4,5
395,Cigla,Cigla,086 37,65,5
396,Cimenná,Cimenná,956 37,1,6
397,Cinobaòa,Cinobaòa,985 22,46,1
398,Cunín,Cunín,908 48,59,7
399,Èab,Èab,951 24,40,4
400,Èabalovce,Èabalovce,067 16,36,5
401,Èabiny,Èabiny,067 02,36,5
402,Èabradskı Vrbovok,Èabradskı Vrbovok,962 51,28,1
403,Èaèín,Èaèín,974 01,2,1
404,Èáèov,Èáèov,905 01,58,7
405,Èadca,Èadca,,12,8
406,Èadca - Kyèerka,Èadca - Kyèerka,022 04,12,8
407,Èadeèka,Èadeèka,022 01,12,8
408,Èachtice,Èachtice,916 21,41,6
409,Èajakovo,Èajakovo,935 61,30,4
410,Èajkov,Èajkov,935 24,30,4
411,Èaka,Èaka,935 68,30,4
412,Èakajovce,Èakajovce,951 43,40,4
413,Èakanovce,Èakanovce,044 45,27,3
414,Èakanovce,Èakanovce,985 58,33,1
415,Èakany,Èakany,930 40,15,7
416,Èaklov,Èaklov,094 35,74,5
417,Èalovec,Èalovec,946 02,22,4
418,Èamovce,Èamovce,986 01,33,1
419,Èaòa,Èaòa,044 14,27,3
420,Èankov,Èankov,934 01,30,4
421,Èápor,Èápor,951 17,40,4
422,Èaradice,Èaradice,953 01,75,4
423,Èáry,Èáry,908 43,58,7
424,Èastá,Èastá,900 89,44,2
425,Èásta,Èásta,946 03,22,4
426,Èastkov,Èastkov,906 04,58,7
427,Èastkovce,Èastkovce,916 27,41,6
428,Èata,Èata,935 63,30,4
429,Èataj,Èataj,900 83,57,2
430,Èavoj,Èavoj,972 29,50,6
431,Èebovce,Èebovce,991 25,73,1
432,Èeèehov,Èeèehov,072 11,37,3
433,Èeèejovce,Èeèejovce,044 71,27,3
434,Èeèínska Potôò,Èeèínska Potôò,930 36,15,7
435,Èechánky,Èechánky,985 45,13,1
436,Èechová,Èechová,930 34,15,7
437,Èechy,Èechy,941 32,42,4
438,Èechynce,Èechynce,951 07,40,4
439,Èekovce,Èekovce,962 41,28,1
440,Èe¾adice,Èe¾adice,951 03,40,4
441,Èe¾adince,Èe¾adince,956 16,67,4
442,Èeláre,Èeláre,991 22,73,1
443,Èelkova Lehota,Èelkova Lehota,018 16,48,6
444,Èelovce,Èelovce,082 14,49,5
445,Èelovce,Èelovce,991 41,73,1
446,Èe¾ovce,Èe¾ovce,076 17,68,3
447,Èemerné,Èemerné,093 03,74,5
448,Èenkesfa,Èenkesfa,929 01,15,7
449,Èenkov,Èenkov,943 52,42,4
450,Èenkovce,Èenkovce,930 39,15,7
451,Èereòany,Èereòany,972 46,50,6
452,Èerenèany,Èerenèany,979 01,53,1
453,Èergov,Èergov,945 01,22,4
454,Èerhát,Èerhát,945 04,22,4
455,Èerhov,Èerhov,076 81,68,3
456,Èerín,Èerín,974 01,2,1
457,Èermáò,Èermáò,949 01,40,4
458,Èermany,Èermany,956 08,67,4
459,Èerník,Èerník,941 05,42,4
460,Èernina,Èernina,067 23,19,5
461,Èernochov,Èernochov,076 32,68,3
462,Èernochov Vrch,Èernochov Vrch,916 01,41,6
463,Èernová,Èernová,034 06,55,8
464,Èertiné,Èertiné,067 52,36,5
465,Èerveò,Èerveò,985 02,46,1
466,Èervená Skala,Èervená Skala,976 71,10,1
467,Èervená Voda,Èervená Voda,083 01,56,5
468,Èerveòany,Èerveòany,049 64,52,1
469,Èerveòany,Èerveòany,991 01,73,1
470,Èervenica,Èervenica,082 07,49,5
471,Èervenica pri Sabinove,Èervenica pri Sabin.,082 56,56,5
472,Èerveník,Èerveník,920 42,18,7
473,Èervenı Hrádok,Èervenı Hrádok,951 82,75,4
474,Èervenı Kameò,Èervenı Kameò,018 56,20,6
475,Èervenı Kameò,Èervenı Kameò,900 89,44,2
476,Èervenı Kláštor,Èervenı Kláštor,059 06,21,5
477,Èervenı Kláštor - kúpele,Èervenı Kláštor-kúp.,059 06,21,5
478,Èeské Brezovo,Èeské Brezovo,985 03,46,1
479,Èiakov,Èiakov,013 54,11,8
480,Èièarovce,Èièarovce,076 71,37,3
481,Èièava,Èièava,093 01,74,5
482,Èièmany,Èièmany,013 15,79,8
483,Èíèov,Èíèov,946 19,22,4
484,Èierna,Èierna,076 43,68,3
485,Èierna Hora,Èierna Hora,053 33,17,3
486,Èierna Lehota,Èierna Lehota,049 36,54,3
487,Èierna Lehota,Èierna Lehota,956 53,1,6
488,Èierna nad Tisou,Èierna nad Tisou,076 43,68,3
489,Èierna Voda,Èierna Voda,925 06,16,7
490,Èierne,Èierne,013 55,11,8
491,Èierne,Èierne,023 13,12,8
492,Èierne,Èierne,023 56,12,8
493,Èierne K¾aèany,Èierne K¾aèany,953 05,75,4
494,Èierne nad Top¾ou,Èierne nad Top¾ou,094 34,74,5
495,Èierne Pole,Èierne Pole,079 01,37,3
496,Èierny Balog,Èierny Balog,976 52,10,1
497,Èierny Brod,Èierny Brod,925 08,16,7
498,Èierny Chrbát,Èierny Chrbát,946 03,22,4
499,Èierny Potok,Èierny Potok,980 31,53,1
500,Èierny Váh,Èierny Váh,032 33,32,8
501,Èifáre,Èifáre,951 61,40,4
502,Èiky,Èiky,941 11,42,4
503,Èilistov,Èilistov,931 01,15,7
504,Èiliská Radvaò,Èiliská Radvaò,930 08,15,7
505,Èimhová,Èimhová,027 12,72,8
506,Èirè,Èirè,065 42,63,5
507,Èí,Èí,980 43,53,1
508,Èí - kúpele,Èí - kúpele,980 43,53,1
509,Èiatice,Èiatice,044 47,27,3
510,Èoltovo,Èoltovo,049 12,54,3
511,Èremošné,Èremošné,039 01,71,8
512,Èuèma,Èuèma,048 01,54,3
513,Èukalovce,Èukalovce,067 35,60,5
514,Èukárska Paka,Èukárska Paka,930 51,15,7
515,Èuklasovce,Èuklasovce,956 54,1,6
516,Ïaèov,Ïaèov,082 71,56,5
517,Daèov Lom,Daèov Lom,991 35,73,1
518,Daletice,Daletice,082 63,56,5
519,Dancov Potok,Dancov Potok,076 12,68,3
520,Danišovce,Danišovce,053 22,62,3
521,Ïanová,Ïanová,038 42,35,8
522,Ïapalovce,Ïapalovce,094 05,74,5
523,Dargov,Dargov,076 61,68,3
524,Davidov,Davidov,093 03,74,5
525,Debraï,Debraï,045 01,27,3
526,Dedaèov,Dedaèov,067 12,19,5
527,Dedina Mládee,Dedina Mládee,946 03,22,4
528,Dedinka,Dedinka,941 50,42,4
529,Dedinka pri Dunaji,Dedinka pri Dunaji,900 29,57,2
530,Dedinky,Dedinky,049 73,54,3
531,Dechtice,Dechtice,919 53,70,7
532,Dekıš,Dekıš,969 01,3,1
533,Delava,Delava,053 75,62,3
534,Demandice,Demandice,935 85,30,4
535,Demänová,Demänová,029 57,39,8
536,Demänová,Demänová,031 01,32,8
537,Demänovská Dolina,Demänovská Dolina,031 01,32,8
538,Demjata,Demjata,082 13,49,5
539,Demkovská,Demkovská,027 05,14,8
540,Dešná,Dešná,020 54,51,6
541,Detrík,Detrík,094 31,74,5
542,Detva,Detva,962 12,13,1
543,Detva - sídlisko,Detva - sídlisko,962 12,13,1
544,Detvianska Huta,Detvianska Huta,962 05,13,1
545,Devièany,Devièany,935 04,30,4
546,Devièie,Devièie,962 65,28,1
547,Deerice,Deerice,957 03,1,6
548,Diaková,Diaková,038 02,35,8
549,Diakovce,Diakovce,925 81,66,4
550,Didka,Didka,022 01,12,8
551,Diel,Diel,985 53,33,1
552,Diva,Diva,943 42,42,4
553,Diviacka Nová Ves,Diviacka Nová Ves,972 24,50,6
554,Diviaky,Diviaky,039 01,71,8
555,Diviaky nad Nitricou,Diviaky nad Nitricou,972 25,50,6
556,Divín,Divín,985 52,33,1
557,Divina,Divina,013 31,79,8
558,Divinka,Divinka,013 31,79,8
559,Divínske Lazy,Divínske Lazy,985 52,33,1
560,Dlhá,Dlhá,919 01,70,7
561,Dlhá Lúka,Dlhá Lúka,032 23,32,8
562,Dlhá Lúka,Dlhá Lúka,085 01,4,5
563,Dlhá nad Kysucou,Dlhá nad Kysucou,023 54,12,8
564,Dlhá nad Oravou,Dlhá nad Oravou,027 55,14,8
565,Dlhá nad Váhom,Dlhá nad Váhom,927 05,66,4
566,Dlhá Ves,Dlhá Ves,049 55,54,3
567,Dlhé Klèovo,Dlhé Klèovo,094 13,74,5
568,Dlhé nad Cirochou,Dlhé nad Cirochou,067 82,60,5
569,Dlhé Pole,Dlhé Pole,013 32,79,8
570,Dlhé Stráe,Dlhé Stráe,054 01,31,5
571,Dlhoòa,Dlhoòa,090 02,65,5
572,Dlín,Dlín,972 26,50,6
573,Dobogov,Dobogov,935 56,30,4
574,Dobogov,Dobogov,044 71,27,3
575,Dobrá,Dobrá,076 41,68,3
576,Dobrá,Dobrá,914 01,69,6
577,Dobrá Niva,Dobrá Niva,962 61,76,1
578,Dobrá Voda,Dobrá Voda,919 54,70,7
579,Dobrá Vo¾a,Dobrá Vo¾a,053 61,62,3
580,Dobrianky,Dobrianky,094 23,74,5
581,Dobroè,Dobroè,976 52,10,1
582,Dobroè,Dobroè,985 53,33,1
583,Dobroèná,Dobroèná,972 27,50,6
584,Dobrohoš,Dobrohoš,930 31,15,7
585,Dobroslava,Dobroslava,090 01,65,5
586,Dobrı Potok,Dobrı Potok,985 26,46,1
587,Dobšiná,Dobšiná,049 25,54,3
588,Dobšinská ¼adová Jaskyòa,Dobšin. ¼ad. Jaskyòa,049 71,54,3
589,Dobšinská Maša,Dobšinská Maša,049 73,54,3
590,Dohòany,Dohòany,020 51,51,6
591,Dojè,Dojè,906 02,58,7
592,Do¾any,Do¾any,053 02,31,5
593,Do¾any,Do¾any,900 88,44,2
594,Dolina,Dolina,027 05,14,8
595,Dolina,Dolina,082 38,49,5
596,Dolinka,Dolinka,991 28,73,1
597,Dolinky,Dolinky,013 62,11,8
598,Dolinky,Dolinky,020 53,51,6
599,Dolinky,Dolinky,962 63,76,1
600,Dolná Breznica,Dolná Breznica,020 61,51,6
601,Dolná Bzová,Dolná Bzová,985 51,13,1
602,Dolná Krupá,Dolná Krupá,919 65,70,7
